                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.79923,                 0.4994,                0.89341,                0.93683,                0.88372,                0.93621,                0.68835,                0.89736,                0.61957,                0.93507,              0.0012806,              0.0012806,              0.0012806
                    111,                0.74907,                0.47474,                0.90318,                0.90432,                0.87934,                 0.9398,                 0.6798,                0.90021,                0.61544,                0.91868,               0.001274,               0.001274,               0.001274
                    112,                0.80254,                0.51463,                0.91204,                0.90502,                0.88643,                  0.945,                0.66476,                0.98802,                0.56219,                0.92772,              0.0012674,              0.0012674,              0.0012674
                    113,                0.77376,                0.48848,                0.90201,                0.97487,                 0.9021,                 0.9578,                0.65898,                 1.0043,                0.60041,                0.92188,              0.0012608,              0.0012608,              0.0012608
                    114,                0.76827,                0.52231,                0.89365,                 0.9761,                0.94995,                0.96418,                0.68238,                0.93791,                 0.5932,                0.90512,              0.0012542,              0.0012542,              0.0012542
                    115,                0.78121,                0.47919,                0.89003,                0.93567,                0.90698,                0.95105,                0.67195,                0.99292,                0.59825,                0.92411,              0.0012476,              0.0012476,              0.0012476
                    116,                0.78934,                0.48152,                0.89363,                 0.9983,                0.93023,                0.94595,                 0.6585,                 1.0136,                0.61943,                0.93525,               0.001241,               0.001241,               0.001241
                    117,                0.76033,                0.49594,                 0.8818,                0.92103,                0.93023,                0.93703,                0.67033,                 0.9339,                0.59934,                0.91382,              0.0012344,              0.0012344,              0.0012344
                    118,                0.79524,                0.49362,                0.89462,                0.94881,                0.90698,                0.94061,                0.67091,                0.96288,                0.61182,                0.92079,              0.0012278,              0.0012278,              0.0012278
                    119,                0.76497,                0.48954,                0.89454,                0.96852,                0.88372,                0.94224,                0.70817,                0.83726,                0.51426,                0.89178,              0.0012212,              0.0012212,              0.0012212
                    120,                 0.6885,                0.44157,                0.86777,                0.96829,                0.86047,                0.93481,                   0.69,                 0.8621,                0.52596,                0.89813,              0.0012146,              0.0012146,              0.0012146
                    121,                0.71699,                0.46688,                0.87105,                0.93825,                0.86047,                0.94255,                0.70729,                0.91139,                0.54547,                0.91141,               0.001208,               0.001208,               0.001208
                    122,                0.75729,                0.49931,                0.88647,                0.88047,                0.93023,                0.95975,                0.72636,                0.86449,                0.48058,                0.89244,              0.0012014,              0.0012014,              0.0012014
                    123,                 0.7421,                 0.5006,                0.87993,                0.97288,                0.83438,                0.94989,                0.66047,                 1.0065,                0.56509,                0.91384,              0.0011948,              0.0011948,              0.0011948
                    124,                0.73282,                0.47833,                  0.866,                0.96965,                0.86047,                0.93569,                0.68311,                0.87007,                0.48218,                0.90041,              0.0011882,              0.0011882,              0.0011882
                    125,                0.74696,                0.51085,                0.88414,                      1,                0.83562,                0.89758,                0.63647,                0.95749,                0.58899,                0.95186,              0.0011816,              0.0011816,              0.0011816
                    126,                0.71614,                0.47889,                0.88629,                0.96635,                 0.7907,                0.90494,                 0.6485,                0.90623,                0.58049,                0.92512,               0.001175,               0.001175,               0.001175
                    127,                 0.7695,                0.48555,                0.86958,                0.96905,                0.86047,                0.94286,                0.67004,                 0.9117,                0.57495,                0.93528,              0.0011684,              0.0011684,              0.0011684
                    128,                0.72166,                 0.4549,                 0.8657,                0.93943,                0.88372,                0.94029,                0.68104,                0.71287,                0.65081,                0.88455,              0.0011618,              0.0011618,              0.0011618
                    129,                0.73556,                0.48435,                0.89031,                0.95036,                0.89067,                0.94587,                0.70499,                0.91813,                0.67659,                0.91022,              0.0011552,              0.0011552,              0.0011552
                    130,                 0.7273,                0.45235,                0.88931,                0.92804,                0.89985,                0.94751,                0.68449,                0.86363,                0.53134,                 0.9193,              0.0011486,              0.0011486,              0.0011486
                    131,                0.69295,                0.44863,                0.87425,                0.97086,                0.83721,                 0.9461,                 0.6792,                0.93993,                0.53855,                0.93168,               0.001142,               0.001142,               0.001142
                    132,                0.69155,                0.45946,                0.87464,                 0.9736,                 0.8576,                 0.9445,                0.70712,                0.90879,                0.52062,                0.92263,              0.0011354,              0.0011354,              0.0011354
                    133,                0.68013,                0.44351,                0.87693,                0.93474,                0.88372,                0.93877,                0.68632,                0.89758,                0.51568,                0.91231,              0.0011288,              0.0011288,              0.0011288
                    134,                0.71937,                0.45847,                0.87658,                0.92147,                0.88372,                0.93756,                 0.6782,                0.93943,                0.55622,                0.91743,              0.0011222,              0.0011222,              0.0011222
                    135,                0.70683,                0.44919,                0.87749,                 0.9728,                 0.8317,                0.92899,                 0.6858,                0.84989,                0.58721,                0.89192,              0.0011156,              0.0011156,              0.0011156
                    136,                0.70147,                0.47864,                0.88343,                0.94798,                 0.8477,                0.96613,                0.70605,                0.93022,                0.50454,                0.90058,               0.001109,               0.001109,               0.001109
                    137,                0.69121,                0.46272,                0.88064,                0.87067,                0.93949,                0.97118,                0.69182,                0.90184,                0.47966,                0.89993,              0.0011024,              0.0011024,              0.0011024
                    138,                 0.7023,                0.46419,                0.88664,                0.97385,                 0.8662,                0.95708,                0.70702,                0.86747,                0.49954,                0.89854,              0.0010958,              0.0010958,              0.0010958
                    139,                0.73516,                0.47338,                0.88742,                0.99015,                0.83721,                0.94428,                0.69014,                0.90488,                0.53034,                 0.9098,              0.0010892,              0.0010892,              0.0010892
                    140,                0.65416,                0.43985,                0.86236,                0.94982,                0.88047,                0.94098,                0.68252,                0.76709,                0.49171,                 0.8825,              0.0010826,              0.0010826,              0.0010826
                    141,                0.66794,                0.45712,                0.86879,                0.94986,                0.88372,                0.94792,                0.67641,                0.86996,                0.49492,                0.89714,               0.001076,               0.001076,               0.001076
                    142,                0.70635,                0.45222,                0.87518,                0.92192,                0.88372,                0.95329,                0.65998,                 1.0176,                0.53003,                0.94158,              0.0010694,              0.0010694,              0.0010694
                    143,                0.72797,                0.46963,                0.87552,                0.99328,                 0.7907,                0.92909,                0.64422,                0.88824,                  0.539,                0.90647,              0.0010628,              0.0010628,              0.0010628
                    144,                  0.691,                0.44383,                0.88013,                0.90168,                0.85321,                0.93566,                0.65372,                0.83322,                0.56434,                0.90156,              0.0010562,              0.0010562,              0.0010562
                    145,                0.64852,                0.42195,                0.87118,                0.92457,                0.85525,                0.93089,                0.66615,                0.90917,                0.55133,                 0.9227,              0.0010496,              0.0010496,              0.0010496
                    146,                0.68566,                0.44137,                0.86902,                0.94336,                0.86047,                 0.9328,                0.67308,                0.90041,                  0.577,                0.93203,               0.001043,               0.001043,               0.001043
                    147,                0.68078,                 0.4367,                0.87041,                0.94944,                0.88372,                 0.9413,                0.67755,                0.91337,                0.56136,                0.92741,              0.0010364,              0.0010364,              0.0010364
                    148,                0.65514,                 0.4308,                0.86845,                0.95519,                0.90698,                0.95025,                0.69486,                0.85495,                0.53181,                0.89805,              0.0010298,              0.0010298,              0.0010298
                    149,                0.64716,                0.43107,                0.87464,                0.92855,                0.90676,                0.94275,                0.69642,                0.91869,                0.59868,                0.91259,              0.0010232,              0.0010232,              0.0010232
                    150,                0.64111,                0.43944,                0.86922,                0.87993,                0.93023,                0.94655,                0.70349,                0.89127,                0.55549,                0.89676,              0.0010166,              0.0010166,              0.0010166
                    151,                0.73838,                0.44845,                0.87563,                0.97295,                0.83647,                0.94434,                0.69531,                0.90465,                0.54004,                0.90093,                0.00101,                0.00101,                0.00101
                    152,                0.67215,                0.43727,                0.84541,                0.89996,                0.88372,                0.93812,                0.66724,                0.87072,                0.52893,                0.89879,              0.0010034,              0.0010034,              0.0010034
                    153,                0.68191,                0.43215,                0.86338,                0.92391,                0.86047,                0.95599,                0.68716,                0.87975,                0.49822,                0.89737,              0.0009968,              0.0009968,              0.0009968
